Tiempo,Carga,Extensión de tracción
(s),(N),(mm)
0,-0.00466,-0.00006
0.1,78.85341,0.00041
0.2,286.87579,0.00162
0.3,443.49634,0.00261
0.4,594.50763,0.00342
0.5,734.87482,0.00421
0.6,873.13513,0.00522
0.7,989.77057,0.0058
0.8,1101.40576,0.00649
0.9,1206.15894,0.00703
1,1303.4823,0.0076
1.1,1392.27173,0.00806
1.2,1466.54382,0.00858
1.3,1532.73584,0.00884
1.4,1592.48621,0.00918
1.5,1646.2417,0.00947
1.6,1699.48804,0.00981
1.7,1751.79565,0.01012
1.8,1803.74707,0.01032
1.9,1854.42163,0.0106
2,1903.96692,0.01091
2.1,1953.61304,0.0112
2.2,2002.96082,0.01147
2.3,2052.51709,0.01178
2.4,2100.65381,0.01196
2.5,2148.2063,0.01232
2.6,2195.15186,0.01256
2.7,2242.75952,0.01284
2.8,2290.54639,0.01318
2.9,2337.32666,0.01341
3,2382.96851,0.01366
3.1,2427.93433,0.01394
3.2,2474.09326,0.01426
3.3,2521.30542,0.01458
3.4,2567.31079,0.01478
3.5,2612.55542,0.01506
3.6,2656.90161,0.01539
3.7,2701.52979,0.0157
3.8,2747.88477,0.01601
3.9,2793.37695,0.01624
4,2839.24072,0.01648
4.1,2883.20557,0.01675
4.2,2927.58228,0.01701
4.3,2971.97095,0.01733
4.4,3017.49512,0.0175
4.5,3062.99463,0.01785
4.6,3107.59229,0.01817
4.7,3150.91455,0.01838
4.8,3195.92993,0.01859
4.9,3239.89307,0.01899
5,3285.45581,0.01918
5.1,3329.44458,0.01955
5.2,3372.16138,0.01983
5.3,3415.13208,0.02004
5.4,3457.85596,0.02036
5.5,3502.35986,0.02064
5.6,3545.36133,0.02085
5.7,3587.14844,0.02109
5.8,3628.39526,0.02139
5.9,3669.13867,0.02155
6,3708.44922,0.02182
6.1,3747.92603,0.022
6.2,3784.56104,0.02224
6.3,3818.67627,0.02243
6.4,3849.53101,0.02265
6.5,3880.04834,0.02279
6.6,3910.55713,0.02295
6.7,3940.68579,0.02315
6.8,3969.83472,0.0233
6.9,3998.27295,0.02352
7,4028.49609,0.02361
7.1,4058.36548,0.02379
7.2,4088.90381,0.02391
7.3,4118.12793,0.02411
7.4,4147.11768,0.02425
7.5,4175.78955,0.02444
7.6,4205.52637,0.0246
7.7,4236.6875,0.0248
7.8,4267.14502,0.02488
7.9,4295.88965,0.0251
8,4325.48828,0.02524
8.1,4354.47314,0.02537
8.2,4385.61035,0.02554
8.3,4416.52734,0.02574
8.4,4445.78223,0.02586
8.5,4474.52588,0.02609
8.6,4503.57568,0.02625
8.7,4534.29541,0.02639
8.8,4564.396,0.02657
8.9,4594.1665,0.02675
9,4623.81152,0.02695
9.1,4652.59619,0.02714
9.2,4682.64551,0.0273
9.3,4713.26367,0.02737
9.4,4743.83594,0.0276
9.5,4773.5835,0.02776
9.6,4802.76465,0.02793
9.7,4831.98633,0.02802
9.8,4861.95459,0.02817
9.9,4892.70947,0.02834
10,4922.84277,0.02856
10.1,4951.96826,0.02871
10.2,4980.8374,0.02884
10.3,5011.19775,0.02908
10.4,5041.53809,0.02924
10.5,5072.48389,0.02938
10.6,5102.35156,0.02952
10.7,5130.82617,0.02972
10.8,5160.74072,0.02989
10.9,5191.53076,0.02998
11,5222.91992,0.03022
11.1,5253.13867,0.03038
11.2,5281.55518,0.03051
11.3,5311.21436,0.03066
11.4,5341.10645,0.03082
11.5,5372.70215,0.03104
11.6,5403.08691,0.03119
11.7,5432.24756,0.03135
11.8,5460.98193,0.03149
11.9,5490.39307,0.03173
12,5521.33105,0.03178
12.1,5551.90967,0.03187
12.2,5582.38623,0.03219
12.3,5611.64551,0.03227
12.4,5640.32861,0.03241
12.5,5670.51221,0.03265
12.6,5701.03516,0.03276
12.7,5731.75732,0.03295
12.8,5761.34375,0.03307
12.9,5789.52832,0.03323
13,5819.68701,0.03337
13.1,5849.55127,0.03354
13.2,5881.11914,0.0337
13.3,5910.26318,0.03384
13.4,5938.52051,0.03402
13.5,5968.55957,0.03412
13.6,5998.27783,0.03435
13.7,6029.19141,0.03453
13.8,6059.4458,0.03461
13.9,6087.40723,0.0348
14,6116.3916,0.03495
14.1,6146.52539,0.03512
14.2,6177.85352,0.03533
14.3,6208.26514,0.03552
14.4,6237.30713,0.03563
14.5,6266.14062,0.03574
14.6,6295.15625,0.036
14.7,6325.13867,0.03617
14.8,6356.11621,0.03628
14.9,6386.82178,0.03654
15,6414.68359,0.03676
15.1,6443.74609,0.03688
15.2,6472.89404,0.03705
15.3,6504.47949,0.03727
15.4,6536.25781,0.03744
15.5,6564.95166,0.03764
15.6,6592.70996,0.0378
15.7,6622.60107,0.03804
15.8,6653.125,0.03811
15.9,6683.56543,0.03831
16,6713.83594,0.03842
16.1,6741.70703,0.03865
16.2,6770.54248,0.03882
16.3,6800.82617,0.03905
16.4,6831.75439,0.03925
16.5,6861.27197,0.03932
